a52dec 0.7.4-9
messagelib 17.12.0-1
milou 5.11.5-1
minizip 1:1.2.11-2
minuet 17.12.0-1
mjpegtools 2.1.0-3
mkinitcpio 24-2
mkinitcpio-busybox 1.27.2-1
mlt 6.4.1-8
mobile-broadband-provider-info 20170310-1
modemmanager 1.6.12-1
modemmanager-qt 5.41.0-1
molequeue 0.8.0-1
mousepad 0.4.0-3
mozilla-common 1.4-4
mpfr 3.1.6.p1-1
msgpack-c 2.1.5-1
mtdev 1.1.5-1
nano 2.9.1-1
ncurses 6.0+20170902-3
neofetch 3.3.0-1
neon 0.30.2-2
neovim 0.2.2-1
net-snmp 5.7.3-7
netbrake 0.2-5
netctl 1.14-1
nettle 3.4-1
network-manager-applet 1.8.11dev+7+ga52ccb2f-1
networkmanager 1.10.2-1
networkmanager-qt 5.41.0-1
newsboat 2.10.2-1
nfs-utils 2.3.1-1
nfsidmap 2.3.1-1
nm-connection-editor 1.8.11dev+7+ga52ccb2f-1
noto-fonts 20171025-2
npth 1.5-1
nspr 4.17-1
nss 3.34.1-1
ntfs-3g 2017.3.23-1
nvidia-dkms 387.34-16
nvidia-settings 387.34-1
nvidia-utils 387.34-2
nvidia-xrun 0.3-0
oh-my-zsh-git r4376.c3b072ea-1
oh-my-zsh-powerline-theme-git r81.56021ec-1
okteta 17.12.0-1
okular 17.12.0-1
openal 1.18.2-1
openbabel 2.4.1-4
opencl-nvidia 387.34-2
opencore-amr 0.1.5-1
openexr 2.2.0-3
openjpeg 1.5.2-1
openjpeg2 2.3.0-1
openresolv 3.9.0-1
openslp 2.0.0-2
openssh 7.6p1-1
openssl 1.1.0.g-1
openssl-1.0 1.0.2.n-1
opus 1.2.1-1
orage 4.12.1-4
orc 0.4.28-1
oxygen 5.11.5-1
p11-kit 0.23.9-1
package-query 1.9-2
pacman 5.0.2-2
pacman-mirrorlist 20171203-1
pam 1.3.0-1
pamac-aur 6.2.2-1
pambase 20171006-1
pango 1.40.14-1
papirus-icon-theme 20171223-1
parley 17.12.0-1
parted 3.2-6
patch 2.7.5-1
pciutils 3.5.6-1
pcmciautils 018-7
pcre 8.41-1
pcre2 10.30-1
perl 5.26.1-1
perl-error 0.17025-2
perl-parse-yapp 1.05-8
perl-uri 1.72-2
phonon-qt5 4.9.1-4
phonon-qt5-vlc 0.9.1-2
pim-data-exporter 17.12.0-1
pim-sieve-editor 17.12.0-1
pimcommon 17.12.0-1
pinentry 1.1.0-1
pixman 0.34.0-1
pkg-config 0.29.2-1
plasma-desktop 5.11.5-1
plasma-framework 5.41.0-1
plasma-integration 5.11.5-1
plasma-meta 5.11-1
plasma-nm 5.11.5-1
plasma-pa 5.11.5-1
plasma-sdk 5.11.5-1
plasma-vault 5.11.5-1
plasma-workspace 5.11.5-1
plasma-workspace-wallpapers 5.11.5-1
polkit 0.113+34+g29ba7af-1
polkit-gnome 0.105-3
polkit-kde-agent 5.11.5-1
polkit-qt5 0.112.0+git20160226-1
polybar 3.1.0-2
poppler 0.61.1-1
poppler-data 0.4.8-1
poppler-qt5 0.61.1-1
popt 1.16-9
powerdevil 5.11.5-1
powerline-common 2.6-1
powerline-fonts 2.6-1
powerline2 2.6-1
poxml 17.12.0-1
ppp 2.4.7-4
presentproto 1.1-1
print-manager 17.12.0-1
prison 5.41.0-1
procps-ng 3.3.12-2
protobuf 3.5.0.1-1
psmisc 23.1-1
pulseaudio 11.1-1
pulseaudio-gconf 11.1-1
purpose 1.2.1-1
python 3.6.4-1
python-appdirs 1.4.3-1
python-attrs 17.4.0-1
python-automat 0.6.0-1
python-chardet 3.0.4-1
python-click 6.7-1
python-constantly 15.1.0-2
python-hyperlink 17.3.1-1
python-idna 2.6-1
python-incremental 17.5.0-1
python-netifaces 0.10.6-1
python-packaging 16.8-2
python-psutil 5.4.1-1
python-pyparsing 2.2.0-1
python-requests 2.18.4-1
python-setuptools 1:38.2.5-1
python-six 1.11.0-1
python-twisted 17.9.0-1
python-urllib3 1.22-1
python-yaml 3.12-3
python-zope-interface 4.4.3-1
python2 2.7.14-1
python2-powerline 2.6-1
qca-qt5 2.1.3-6
qgpgme 1.10.0-1
qqc2-desktop-style 5.41.0-1
qrencode 4.0.0-1
qt-gstreamer 1.2.0-1
qt4 4.8.7-23
qt5-base 5.10.0-2
qt5-declarative 5.10.0-1
qt5-graphicaleffects 5.10.0-1
qt5-location 5.10.0-1
qt5-multimedia 5.10.0-1
qt5-quickcontrols 5.10.0-1
qt5-quickcontrols2 5.10.0-1
qt5-script 5.10.0-1
qt5-sensors 5.10.0-1
qt5-speech 5.10.0-1
qt5-svg 5.10.0-1
qt5-tools 5.10.0-1
qt5-webchannel 5.10.0-1
qt5-webengine 5.10.0-2
qt5-webkit 5.212.0alpha2-11
qt5-x11extras 5.10.0-1
qt5-xmlpatterns 5.10.0-1
radare2 2.1.0-1
randrproto 1.5.0-1
ranger 1.8.1-1
re2 20171201-1
readline 7.0.003-1
recordproto 1.14.2-2
reiserfsprogs 3.6.27-1
renderproto 0.11.1-3
resourceproto 1.2.0-3
rest 0.8.1-1
ristretto 0.8.2-1
rocs 17.12.0-1
rofi 1.4.2-1
rofi-dmenu 1-1
rpcbind 0.2.4-4
rtkit 0.11+8+ge0a51fe-1
rtmpdump 1:2.4.r96.fa8646d-3
run-parts 4.8.3-1
rxvt-unicode 9.22-5
rxvt-unicode-terminfo 9.22-5
s-nail 14.9.6-1
samba 4.7.4-1
sane 1.0.27-1
sbc 1.3-1
schroedinger 1.0.11-3
scrnsaverproto 1.2.2-2
sddm 0.17.0-4
sddm-kcm 5.11.5-1
sdl 1.2.15-9
sdl2 2.0.7-1
sdl_image 1.2.12-4
sed 4.4-1
shadow 4.5-4
shared-mime-info 1.9-1
signon-kwallet-extension 17.12.0-1
signon-plugin-oauth2 0.24-1
signon-ui 0.17+20150611-1
signond 8.59-1
slang 2.3.1a-1
smbclient 4.7.4-1
snappy 1.1.7-1
socat 1.7.3.2-2
solid 5.41.0-1
sonnet 5.41.0-1
sound-theme-freedesktop 0.8-2
soundtouch 2.0.0-1
spandsp 0.0.6-1
spectacle 17.12.0-1
speex 1.2.0-1
speexdsp 1.2rc3-2
spglib 1.10.2-1
sqlite 3.21.0-1
startup-notification 0.12-5
step 17.12.0-1
stfl 0.24-2
sudo 1.8.21.p2-1
sweeper 17.12.0-1
syntax-highlighting 5.41.0-1
sysfsutils 2.1.0-9
systemd 236.0-2
systemd-sysvcompat 236.0-2
systemsettings 5.11.5-1
taglib 1.11.1-1
talloc 2.1.10-1
tar 1.30-1
tdb 1.3.15-1
telepathy-accounts-signon 1.0-1
telepathy-farstream 0.6.2-4
telepathy-glib 0.24.1-1
telepathy-kde-accounts-kcm 17.12.0-1
telepathy-kde-approver 17.12.0-1
telepathy-kde-auth-handler 17.12.0-1
telepathy-kde-call-ui 17.12.0-1
telepathy-kde-common-internals 17.12.0-1
